A,B,C,D,E,F
61,73,68,21,10,11
66,85,45,24,49,9
21,37,38,19,2,8
22,44,45,5,52,11
91,87,59,11,20,20
28,33,93,48,54,55
59,72,41,56,49,90
65,22,80,56,41,82
16,63,78,61,20,30
73,64,69,32,75,41
4,55,74,97,56,28
53,15,53,46,24,2
88,41,24,68,97,66
2,13,81,81,27,2
63,0,66,85,84,93
26,88,0,1,85,56
81,90,24,34,88,48
88,77,89,65,45,87
31,48,52,64,81,79
66,44,31,84,29,15
77,56,55,78,9,93
86,42,35,10,29,24
58,17,1,0,82,46
39,65,46,91,82,79
23,48,24,6,33,5
22,62,13,29,40,74
22,79,17,58,89,46
82,0,15,83,0,50
81,39,15,80,82,97
59,57,98,35,64,83
93,38,45,58,67,38
33,42,17,50,0,58
48,82,58,63,17,10
13,50,1,81,82,36
30,94,45,28,81,9
63,74,99,9,33,19
47,66,61,16,68,61
74,16,95,85,31,64
95,45,14,49,26,49
37,8,43,82,89,24
44,52,99,43,61,84
62,60,2,23,76,22
36,51,90,31,36,21
47,83,66,62,84,44
63,21,53,6,4,42
30,48,46,81,43,8
17,6,20,19,81,97
93,18,0,83,1,36
5,49,71,23,63,56
68,26,29,73,32,33
67,14,33,13,48,77
73,65,35,94,37,16
43,30,34,43,66,88
31,71,37,2,94,0
10,14,26,92,87,10
25,54,24,11,68,24
88,41,90,23,87,79
91,30,9,78,73,75
66,4,98,3,59,93
55,21,7,33,13,95
43,91,1,19,2,69
44,42,63,86,17,2
65,60,33,26,38,58
2,4,63,52,59,74
45,66,47,5,99,13
52,94,4,53,66,58
75,62,52,90,48,21
92,65,81,25,91,72
84,45,28,99,98,88
25,95,6,72,0,58
85,4,4,41,10,70
51,85,84,3,27,84
24,19,49,58,97,41
30,33,86,58,84,36
98,9,32,57,33,84
15,19,41,19,12,51
42,64,88,26,67,15
11,44,86,12,54,35
53,84,68,92,94,52
28,45,61,12,2,95
49,69,66,90,88,78
41,82,94,81,9,14
48,72,58,34,84,64
70,90,48,38,82,94
43,62,91,56,27,93
51,76,62,69,18,3
0,59,85,94,92,46
8,40,70,18,74,55
82,96,97,82,87,79
29,30,93,20,86,72
14,90,48,28,11,66
83,63,77,21,58,69
19,18,61,90,89,36
97,71,84,94,6,71
25,35,53,18,7,40
43,73,82,91,2,93
10,37,57,39,58,67
61,78,37,22,20,26
10,17,50,95,11,8
18,88,43,72,58,50
12,1,76,46,93,78
39,55,67,48,94,78
67,55,56,5,30,28
83,40,45,33,87,8
41,6,96,36,78,54
39,42,56,15,88,1
45,79,56,64,28,2
42,95,10,98,52,40
78,36,32,23,21,20
83,15,26,79,3,56
86,42,98,42,9,86
43,6,17,51,71,45
53,13,93,15,64,97
55,42,33,40,18,55
60,1,70,38,33,73
94,19,68,44,61,29
82,56,88,99,59,11
45,64,24,90,80,40
87,87,35,73,27,53
28,39,6,50,77,39
75,23,58,95,67,71
77,49,79,65,49,38
28,46,3,52,88,35
45,75,22,80,48,50
85,28,89,43,30,19
83,58,94,93,53,62
65,82,63,44,99,64
83,27,10,38,32,98
73,77,26,95,9,74
97,46,55,39,89,85
58,24,95,4,18,49
66,83,83,82,79,83
46,62,10,57,52,94
7,25,71,33,73,32
60,70,30,67,9,72
52,19,96,48,24,66
49,42,1,32,24,81
67,71,95,30,80,48
24,87,73,96,73,46
80,33,69,63,0,30
35,4,50,83,4,26
50,5,68,51,90,45
84,57,68,80,87,48
28,12,87,53,60,12
52,92,97,73,55,97
3,90,54,5,26,10
31,76,16,52,79,58
97,64,15,17,44,55
17,24,67,4,29,79
17,33,71,14,6,27
64,10,69,70,15,95
32,99,23,48,51,3
58,0,19,74,17,63
81,86,39,48,90,68
79,59,54,50,26,60
29,42,22,51,12,90
98,96,89,22,45,92
77,55,44,96,29,13
11,10,99,50,10,41
70,89,1,24,92,79
85,73,21,59,24,85
1,23,81,90,45,78
34,74,34,30,70,15
43,33,78,94,83,40
36,53,82,89,30,74
68,67,47,41,26,24
78,28,47,59,70,44
90,57,18,24,87,40
91,83,73,69,77,8
62,65,61,44,6,91
70,74,10,69,67,37
93,45,17,40,57,87
36,47,96,6,23,84
46,14,19,71,36,48
79,98,14,93,94,20
36,64,47,47,33,66
36,27,12,53,19,69
92,8,68,89,14,91
25,13,5,44,84,41
92,16,91,58,61,85
79,49,49,78,96,35
44,84,62,8,37,33
29,82,41,97,23,8
88,48,21,94,92,57
87,36,73,79,95,34
64,26,36,66,56,32
1,52,69,15,61,58
0,42,40,42,40,63
